date,kwh
2019-01-01,NaN
2019-01-02,NaN
2019-01-03,NaN
2019-01-04,NaN
2019-01-05,NaN
2019-01-06,NaN
2019-01-07,NaN
2019-01-08,NaN
2019-01-09,NaN
2019-01-10,408.0
2019-01-11,408.0
2019-01-12,408.0
2019-01-13,408.0
2019-01-14,408.0
2019-01-15,408.0
2019-01-16,408.0
2019-01-17,408.0
2019-01-18,408.0
2019-01-19,408.0
2019-01-20,408.0
2019-01-21,408.0
2019-01-22,408.0
2019-01-23,408.0
2019-01-24,408.0
2019-01-25,408.0
2019-01-26,408.0
2019-01-27,408.0
2019-01-28,408.0
2019-01-29,408.0
2019-01-30,408.0
2019-01-31,408.0
2019-02-01,408.0
2019-02-02,408.0
2019-02-03,408.0
2019-02-04,408.0
2019-02-05,408.0
2019-02-06,408.0
2019-02-07,408.0
2019-02-08,408.0
2019-02-09,408.0
2019-02-10,408.0
2019-02-11,408.0
2019-02-12,408.0
2019-02-13,408.0
2019-02-14,1116.0
2019-02-15,1116.0
2019-02-16,1116.0
2019-02-17,1116.0
2019-02-18,1116.0
2019-02-19,1116.0
2019-02-20,1116.0
2019-02-21,1116.0
2019-02-22,1116.0
2019-02-23,1116.0
2019-02-24,1116.0
2019-02-25,1116.0
2019-02-26,1116.0
2019-02-27,1116.0
2019-02-28,1116.0
2019-03-01,1116.0
2019-03-02,1116.0
2019-03-03,1116.0
2019-03-04,1116.0
2019-03-05,1116.0
2019-03-06,1116.0
2019-03-07,1116.0
2019-03-08,1116.0
2019-03-09,1116.0
2019-03-10,1116.0
2019-03-11,1116.0
2019-03-12,1116.0
2019-03-13,1116.0
2019-03-14,1116.0
2019-03-15,1116.0
2019-03-16,1116.0
2019-03-17,1116.0
2019-03-18,1116.0
2019-03-19,1116.0
2019-03-20,1116.0
2019-03-21,1116.0
2019-03-22,1116.0
2019-03-23,1116.0
2019-03-24,1116.0
2019-03-25,1116.0
2019-03-26,1116.0
2019-03-27,1116.0
2019-03-28,1116.0
2019-03-29,1116.0
2019-03-30,1116.0
2019-03-31,1116.0
2019-04-01,1116.0
2019-04-02,1116.0
2019-04-03,1116.0
2019-04-04,1116.0
2019-04-05,1116.0
2019-04-06,1116.0
2019-04-07,1116.0
2019-04-08,1116.0
2019-04-09,1116.0
2019-04-10,1116.0
2019-04-11,1116.0
2019-04-12,1116.0
2019-04-13,1116.0
2019-04-14,1116.0
2019-04-15,1356.0
2019-04-16,1356.0
2019-04-17,1356.0
2019-04-18,1356.0
2019-04-19,1356.0
2019-04-20,1356.0
2019-04-21,1356.0
2019-04-22,1356.0
2019-04-23,1356.0
2019-04-24,1356.0
2019-04-25,1356.0
2019-04-26,1356.0
2019-04-27,1356.0
2019-04-28,1356.0
2019-04-29,1356.0
2019-04-30,1356.0
2019-05-01,1356.0
2019-05-02,1356.0
2019-05-03,1356.0
2019-05-04,1356.0
2019-05-05,1356.0
2019-05-06,1730.0
2019-05-07,1730.0
2019-05-08,1730.0
2019-05-09,1730.0
2019-05-10,1730.0
2019-05-11,1730.0
2019-05-12,1730.0
2019-05-13,1730.0
2019-05-14,1730.0
2019-05-15,1730.0
2019-05-16,1730.0
2019-05-17,1730.0
2019-05-18,1730.0
2019-05-19,1730.0
2019-05-20,1730.0
2019-05-21,1730.0
2019-05-22,1730.0
2019-05-23,1730.0
2019-05-24,1730.0
2019-05-25,1730.0
2019-05-26,1730.0
2019-05-27,1730.0
2019-05-28,1730.0
2019-05-29,1730.0
2019-05-30,1730.0
2019-05-31,1730.0
2019-06-01,1730.0
2019-06-02,1730.0
2019-06-03,1730.0
2019-06-04,1730.0
2019-06-05,1730.0
2019-06-06,1730.0
2019-06-07,1730.0
2019-06-08,1730.0
2019-06-09,1730.0
2019-06-10,2102.0
2019-06-11,2102.0
2019-06-12,2102.0
2019-06-13,2102.0
2019-06-14,2102.0
2019-06-15,2102.0
2019-06-16,2102.0
2019-06-17,2102.0
2019-06-18,2102.0
2019-06-19,2102.0
2019-06-20,2102.0
2019-06-21,2102.0
2019-06-22,2102.0
2019-06-23,2102.0
2019-06-24,2102.0
2019-06-25,2102.0
2019-06-26,2102.0
2019-06-27,2102.0
2019-06-28,2102.0
2019-06-29,2102.0
2019-06-30,2102.0
2019-07-01,2102.0
2019-07-02,2102.0
2019-07-03,2102.0
2019-07-04,2102.0
2019-07-05,2102.0
2019-07-06,2102.0
2019-07-07,2102.0
2019-07-08,2102.0
2019-07-09,2102.0
2019-07-10,2102.0
2019-07-11,2102.0
2019-07-12,2674.0
2019-07-13,2674.0
2019-07-14,2674.0
2019-07-15,2674.0
2019-07-16,2674.0
2019-07-17,2674.0
2019-07-18,2674.0
2019-07-19,2674.0
2019-07-20,2674.0
2019-07-21,2674.0
2019-07-22,2674.0
2019-07-23,2674.0
2019-07-24,2674.0
2019-07-25,2674.0
2019-07-26,2674.0
2019-07-27,2674.0
2019-07-28,2674.0
2019-07-29,2674.0
2019-07-30,2674.0
2019-07-31,2674.0
2019-08-01,2674.0
2019-08-02,2674.0
2019-08-03,2674.0
2019-08-04,2674.0
2019-08-05,2674.0
2019-08-06,2674.0
2019-08-07,2674.0
2019-08-08,2674.0
2019-08-09,2674.0
2019-08-10,2674.0
2019-08-11,2674.0
2019-08-12,2674.0
2019-08-13,2674.0
2019-08-14,2674.0
2019-08-15,2674.0
2019-08-16,2674.0
2019-08-17,2674.0
2019-08-18,2674.0
2019-08-19,2674.0
2019-08-20,2674.0
2019-08-21,2674.0
2019-08-22,2674.0
2019-08-23,2674.0
2019-08-24,2674.0
2019-08-25,2674.0
2019-08-26,2674.0
2019-08-27,2674.0
2019-08-28,2674.0
2019-08-29,2674.0
2019-08-30,2674.0
2019-08-31,2674.0
2019-09-01,2674.0
2019-09-02,2674.0
2019-09-03,NaN
2019-09-04,NaN
2019-09-05,NaN
2019-09-06,NaN
2019-09-07,NaN
2019-09-08,NaN
2019-09-09,NaN
2019-09-10,NaN
2019-09-11,NaN
2019-09-12,NaN
2019-09-13,NaN
2019-09-14,NaN
2019-09-15,NaN
2019-09-16,NaN
2019-09-17,NaN
2019-09-18,NaN
2019-09-19,NaN
2019-09-20,2784.0
2019-09-21,2784.0
2019-09-22,2784.0
2019-09-23,2784.0
2019-09-24,2784.0
2019-09-25,2784.0
2019-09-26,2784.0
2019-09-27,2784.0
2019-09-28,2784.0
2019-09-29,2784.0
2019-09-30,2784.0
2019-10-01,3144.0
2019-10-02,3144.0
2019-10-03,3144.0
2019-10-04,3144.0
2019-10-05,3144.0
2019-10-06,3144.0
2019-10-07,3144.0
2019-10-08,3144.0
2019-10-09,3144.0
2019-10-10,3144.0
2019-10-11,3144.0
2019-10-12,3144.0
2019-10-13,3144.0
2019-10-14,3144.0
2019-10-15,3144.0
2019-10-16,3144.0
2019-10-17,3144.0
2019-10-18,3144.0
2019-10-19,3144.0
2019-10-20,3144.0
2019-10-21,3144.0
2019-10-22,3144.0
2019-10-23,3144.0
2019-10-24,3144.0
2019-10-25,3144.0
2019-10-26,3144.0
2019-10-27,3144.0
2019-10-28,3144.0
2019-10-29,3144.0
2019-10-30,3144.0
2019-10-31,3144.0
2019-11-01,3376.0
2019-11-02,3376.0
2019-11-03,3376.0
2019-11-04,3376.0
2019-11-05,3376.0
2019-11-06,3376.0
2019-11-07,3376.0
2019-11-08,3376.0
2019-11-09,3376.0
2019-11-10,3376.0
2019-11-11,3376.0
2019-11-12,3376.0
2019-11-13,3376.0
2019-11-14,3376.0
2019-11-15,3376.0
2019-11-16,3376.0
2019-11-17,3376.0
2019-11-18,3376.0
2019-11-19,3376.0
2019-11-20,3376.0
2019-11-21,3376.0
2019-11-22,3376.0
2019-11-23,3376.0
2019-11-24,3376.0
2019-11-25,3376.0
2019-11-26,3376.0
2019-11-27,3376.0
2019-11-28,3376.0
2019-11-29,3376.0
2019-11-30,3376.0
2019-12-01,3676.0
2019-12-02,3676.0
2019-12-03,3676.0
2019-12-04,3676.0
2019-12-05,3676.0
2019-12-06,3676.0
2019-12-07,3676.0
2019-12-08,3676.0
2019-12-09,3676.0
2019-12-10,3676.0
2019-12-11,3676.0
2019-12-12,3676.0
2019-12-13,3676.0
2019-12-14,3676.0
2019-12-15,3676.0
2019-12-16,3676.0
2019-12-17,3676.0
2019-12-18,3676.0
2019-12-19,3676.0
2019-12-20,3676.0
2019-12-21,3676.0
2019-12-22,3676.0
2019-12-23,3676.0
2019-12-24,3676.0
2019-12-25,3676.0
2019-12-26,3676.0
2019-12-27,3676.0
2019-12-28,3676.0
2019-12-29,3676.0
2019-12-30,3676.0
2019-12-31,3676.0
